"STN","OBS_DATE","TA_AVG","SI_DAY"
98,"2023-11-06",12.5,3.63
98,"2023-11-07",4.2,13.41
98,"2023-11-08",6.4,13.21
98,"2023-11-09",9.4,5.08
98,"2023-11-10",2.4,13.23
98,"2023-11-11",0.5,10.71
98,"2023-11-12",-0.1,13.29
98,"2023-11-13",0.3,13.48
98,"2023-11-14",2.7,12.88
98,"2023-11-15",4.6,10.82
98,"2023-11-16",5,1.17
98,"2023-11-17",0.6,7.15
98,"2023-11-18",-0.5,11.87
98,"2023-11-19",5.1,8.41
98,"2023-11-20",4,12.28
98,"2023-11-21",5.3,11.93
98,"2023-11-22",8,9.72
98,"2023-11-23",8.7,8.13
98,"2023-11-24",-2.1,11.87
98,"2023-11-25",-2.9,11.94
98,"2023-11-26",2.5,6.76
98,"2023-11-27",5.1,2.13
98,"2023-11-28",0,9.35
98,"2023-11-29",-3.6,3.4
98,"2023-11-30",-5.3,11.38
98,"2023-12-01",-4.9,11.6
98,"2023-12-02",0.3,8.3
98,"2023-12-03",-0.7,10.71
98,"2023-12-04",1.3,10.6
98,"2023-12-05",6.2,8.68
98,"2023-12-06",5.4,2.02
98,"2023-12-07",5.4,8.54
98,"2023-12-08",11.7,5.75
98,"2023-12-09",13,3.98
98,"2023-12-10",8.2,8.83
98,"2023-12-11",6.1,1.23
98,"2023-12-12",3.4,6.16
98,"2023-12-13",5,8.74
98,"2023-12-14",5.6,1.16
98,"2023-12-15",3.1,1.48
98,"2023-12-16",-5,7.98
98,"2023-12-17",-11,10.76
98,"2023-12-18",-9.8,7.56
98,"2023-12-19",-5.3,5.64
98,"2023-12-20",-8.6,8.6
98,"2023-12-21",-12.8,10.38
98,"2023-12-22",-12.8,10.56
98,"2023-12-23",-9.5,11.23
98,"2023-12-24",-4.4,8.64
98,"2023-12-25",-2.5,4.62
98,"2023-12-26",-0.2,8.75
98,"2023-12-27",-1.4,9.39
98,"2023-12-28",-1.2,7.38
98,"2023-12-29",0.1,6.25
98,"2023-12-30",-0.6,0.44
98,"2023-12-31",1.3,5.11
98,"2024-01-01",1.5,5.41
98,"2024-01-02",1.9,4.69
98,"2024-01-03",0.7,3.82
98,"2024-01-04",-0.2,4.67
98,"2024-01-05",3.9,7.13
98,"2024-01-06",-0.8,11.09
98,"2024-01-07",-5,11.23
98,"2024-01-08",-6,11.08
98,"2024-01-09",-2.2,1.25
98,"2024-01-10",-3.1,7.32
98,"2024-01-11",0.4,4.39
98,"2024-01-12",-0.6,11.26
98,"2024-01-13",-2.2,11.21
98,"2024-01-14",-2.8,1.03
98,"2024-01-15",-5.8,11.87
98,"2024-01-16",-5.4,13.23
98,"2024-01-17",-2.1,2.26
98,"2024-01-18",2.9,10.16
98,"2024-01-19",3.9,8.95
98,"2024-01-20",1.6,2.56
98,"2024-01-21",0.9,3.88
98,"2024-01-22",-9.5,7.87
98,"2024-01-23",-12.7,12.12
98,"2024-01-24",-8.8,12.53
98,"2024-01-25",-6.6,12.48
98,"2024-01-26",-3.7,12.24
98,"2024-01-27",-2.6,12.02
98,"2024-01-28",-2.6,10.52
98,"2024-01-29",-2.6,13.08
98,"2024-01-30",-1.1,12.38
98,"2024-01-31",2.6,11.79
98,"2024-02-01",1.4,11.01
98,"2024-02-02",2,10.4
98,"2024-02-03",2.6,7
98,"2024-02-04",3.9,11.35
98,"2024-02-05",1.6,3.42
98,"2024-02-06",0,5.65
98,"2024-02-07",-0.3,4.87
98,"2024-02-08",-1,14.02
98,"2024-02-09",-0.6,14.28
98,"2024-02-10",0,11.97
98,"2024-02-11",-1.1,10.55
98,"2024-02-12",1.4,14.55
98,"2024-02-13",7.8,10.28
98,"2024-02-14",12.8,11.53
98,"2024-02-15",3.6,1.08
98,"2024-02-16",0.3,11.28
98,"2024-02-17",2,15.28
98,"2024-02-18",4.2,4.17
98,"2024-02-19",8.6,0.91
98,"2024-02-20",3.5,2.65
98,"2024-02-21",0.5,2.29
98,"2024-02-22",-0.5,1.74
98,"2024-02-23",0.8,13.59
98,"2024-02-24",1,11.76
98,"2024-02-25",1.7,9.56
98,"2024-02-26",2.3,14.82
98,"2024-02-27",3.7,14.57
98,"2024-02-28",4.7,10
98,"2024-02-29",3.6,8.09
98,"2024-03-01",-4.6,19.12
98,"2024-03-02",-1.3,11.77
98,"2024-03-03",3.1,15.03
98,"2024-03-04",3.2,18.79
98,"2024-03-05",5.6,7.79
98,"2024-03-06",4.7,11.65
98,"2024-03-07",2.7,7.37
98,"2024-03-08",1.1,19.64
98,"2024-03-09",0.8,19.9
98,"2024-03-10",2.7,19.65
98,"2024-03-11",4.5,7.81
98,"2024-03-12",5.9,8.89
98,"2024-03-13",5.6,19.75
98,"2024-03-14",7,20.04
98,"2024-03-15",8,18.58
98,"2024-03-16",9.5,16.17
98,"2024-03-17",8.6,19.01
98,"2024-03-18",6.2,19.12
98,"2024-03-19",5.9,7.19
98,"2024-03-20",3.7,13.38
98,"2024-03-21",3.9,19.68
98,"2024-03-22",8.6,8.79
98,"2024-03-23",11.5,20.15
98,"2024-03-24",14.1,20.82
98,"2024-03-25",9.1,5.18
98,"2024-03-26",5.6,13.38
98,"2024-03-27",9,18.11
98,"2024-03-28",9.4,5.16
98,"2024-03-29",6.9,6.25
98,"2024-03-30",6.7,12.4
98,"2024-03-31",8.6,21.22
99,"2023-04-01",13.5,20.2
99,"2023-04-02",15.5,22.6
99,"2023-04-03",15.3,21.78
99,"2023-04-04",15.3,9.55
99,"2023-04-05",10.9,1.65
99,"2023-04-06",8.6,2.29
99,"2023-04-07",7.4,21.47
99,"2023-04-08",7.1,24.25
99,"2023-04-09",8.3,24.23
99,"2023-04-10",10.6,20.81
99,"2023-04-11",12.2,2.64
99,"2023-04-12",8.4,23.67
99,"2023-04-13",10,14.13
99,"2023-04-14",13.5,12.72
99,"2023-04-15",12,8.47
99,"2023-04-16",9.8,14.6
99,"2023-04-17",11.1,15.69
99,"2023-04-18",12.6,13.99
99,"2023-04-19",16.6,23.93
99,"2023-04-20",14.5,4.71
99,"2023-04-21",15,25.26
99,"2023-04-22",14.4,18.6
99,"2023-04-23",13.7,21.03
99,"2023-04-24",14.1,20.32
99,"2023-04-25",8.4,5.32
99,"2023-04-26",9.4,19.79
99,"2023-04-27",9.7,25.4
99,"2023-04-28",12.8,22.11
99,"2023-04-29",12.3,7.95
99,"2023-04-30",10.9,15.96
99,"2023-05-01",12.8,26.07
99,"2023-05-02",13.7,20.86
99,"2023-05-03",16.4,25.75
99,"2023-05-04",19.2,9.97
99,"2023-05-05",16.4,1.51
99,"2023-05-06",11.6,5.45
99,"2023-05-07",12.8,13.86
99,"2023-05-08",13,27.76
99,"2023-05-09",14.1,27.15
99,"2023-05-10",15.5,24.79
99,"2023-05-11",16.6,26.52
99,"2023-05-12",15.2,20.03
99,"2023-05-13",14.7,18.31
99,"2023-05-14",15.2,23.91
99,"2023-05-15",17.4,23.96
99,"2023-05-16",19.9,25.93
99,"2023-05-17",20.9,21.99
99,"2023-05-18",19.6,17.24
99,"2023-05-19",20.4,27.42
99,"2023-05-20",19,25.56
99,"2023-05-21",17.2,21.86
99,"2023-05-22",18.8,24.9
99,"2023-05-23",17.6,27.31
99,"2023-05-24",17.4,20.97
99,"2023-05-25",18.1,26.41
99,"2023-05-26",19,25.48
99,"2023-05-27",17,3.35
99,"2023-05-28",18.6,3.66
99,"2023-05-29",22.9,24.51
99,"2023-05-30",21.4,20.17
99,"2023-05-31",20.8,24.21
99,"2023-06-01",20.6,16.1
99,"2023-06-02",19.2,18.17
99,"2023-06-03",20.1,28.64
99,"2023-06-04",20.2,26.34
99,"2023-06-05",19.8,23.04
99,"2023-06-06",19,19.6
99,"2023-06-07",20.2,13.04
99,"2023-06-08",19.1,7.79
99,"2023-06-09",20.4,25.71
99,"2023-06-10",20.5,14.32
99,"2023-06-11",20.9,26.02
99,"2023-06-12",20,20.4
99,"2023-06-13",19.9,25.03
99,"2023-06-14",19.9,26.97
99,"2023-06-15",21.4,25.62
99,"2023-06-16",21.6,28.7
99,"2023-06-17",21.6,26.39
99,"2023-06-18",23,26.71
99,"2023-06-19",25.4,24.97
99,"2023-06-20",22.4,6.31
99,"2023-06-21",19.1,7.19
99,"2023-06-22",21.5,21.24
99,"2023-06-23",22.8,21.62
99,"2023-06-24",24.5,26.76
99,"2023-06-25",25.5,24.62
99,"2023-06-26",22.7,3.07
99,"2023-06-27",23.1,15.75
99,"2023-06-28",24.2,18.89
99,"2023-06-29",23.1,2.27
99,"2023-06-30",24,18.25
99,"2023-07-01",25.4,26.69
99,"2023-07-02",24.4,17.51
99,"2023-07-03",26.9,25.77
99,"2023-07-04",24.5,5.35
99,"2023-07-05",23.7,20.6
99,"2023-07-06",25.6,24
99,"2023-07-07",25.2,25.63
99,"2023-07-08",23.8,17.77
99,"2023-07-09",23.9,12.89
99,"2023-07-10",26,22.32
99,"2023-07-11",22.3,2.75
99,"2023-07-12",24.7,13.05
99,"2023-07-13",24.1,3.29
99,"2023-07-14",24.2,4.11
99,"2023-07-15",23.9,2.98
99,"2023-07-16",23.6,7.58
99,"2023-07-17",23.7,8.18
99,"2023-07-18",24.5,12.17
99,"2023-07-19",25.5,25.18
99,"2023-07-20",25.2,22.58
99,"2023-07-21",26.6,25.78
99,"2023-07-22",26.4,18.34
99,"2023-07-23",24.6,3.41
99,"2023-07-24",25.8,21.27
99,"2023-07-25",25.7,15.71
99,"2023-07-26",24.8,15.06
99,"2023-07-27",27,25.36
99,"2023-07-28",27.1,23.24
99,"2023-07-29",26.7,20.41
99,"2023-07-30",27.5,24.49
99,"2023-07-31",27.2,21.23
99,"2023-08-01",28,23.43
99,"2023-08-02",27,21.32
99,"2023-08-03",26.9,25.34
99,"2023-08-04",27.3,23.94
99,"2023-08-05",27.5,25.59
99,"2023-08-06",27.9,16.21
99,"2023-08-07",27.2,20.78
99,"2023-08-08",27.7,26.02
99,"2023-08-09",26.2,18.81
99,"2023-08-10",21.5,3.64
99,"2023-08-11",21.8,5.01
99,"2023-08-12",22.5,5.06
99,"2023-08-13",25.2,16.11
99,"2023-08-14",26,19.67
99,"2023-08-15",25.9,21.29
99,"2023-08-16",25.6,20.14
99,"2023-08-17",26.3,23.25
99,"2023-08-18",26.9,20.82
99,"2023-08-19",26.9,23.54
99,"2023-08-20",25.4,13.47
99,"2023-08-21",27.2,16.28
99,"2023-08-22",26.2,8.85
99,"2023-08-23",23.4,2.75
99,"2023-08-24",23.2,9.46
99,"2023-08-25",25.1,17.62
99,"2023-08-26",23.8,18.09
99,"2023-08-27",23.3,11.15
99,"2023-08-28",21.1,3.32
99,"2023-08-29",22.9,4.37
99,"2023-08-30",21.5,9.47
99,"2023-08-31",22.3,21.15
99,"2023-09-01",22,22.65
99,"2023-09-02",22.1,21.96
99,"2023-09-03",23.6,12.95
99,"2023-09-04",24.7,12
99,"2023-09-05",26.2,22.4
99,"2023-09-06",24.9,22.78
99,"2023-09-07",23.2,23.19
99,"2023-09-08",22.5,22.96
99,"2023-09-09",22.8,20.6
99,"2023-09-10",23.1,16.5
99,"2023-09-11",23.3,19.51
99,"2023-09-12",23.2,16.93
99,"2023-09-13",20.3,3.54
99,"2023-09-14",22,16.14
99,"2023-09-15",20.9,5.2
99,"2023-09-16",22.8,8.18
99,"2023-09-17",23.4,14.71
99,"2023-09-18",23.2,17.86
99,"2023-09-19",22.9,10.55
99,"2023-09-20",20.1,4.37
99,"2023-09-21",17.8,10.96
99,"2023-09-22",17.6,19.45
99,"2023-09-23",19.1,18.76
99,"2023-09-24",18.9,17.89
99,"2023-09-25",19.2,11.57
99,"2023-09-26",19.3,4.12
99,"2023-09-27",20.5,7.91
99,"2023-09-28",20.7,14.08
99,"2023-09-29",18.2,15.74
99,"2023-09-30",18.2,8.85
99,"2023-10-01",15.7,19.62
99,"2023-10-02",14.4,18.54
99,"2023-10-03",14.9,11.41
99,"2023-10-04",14.2,9.82
99,"2023-10-05",12.8,19.29
99,"2023-10-06",12,16.41
99,"2023-10-07",14,12.56
99,"2023-10-08",15.1,8.71
99,"2023-10-09",15.2,12.74
99,"2023-10-10",13.7,14.11
99,"2023-10-11",14.6,16.87
99,"2023-10-12",14.8,16.54
99,"2023-10-13",14.6,10.3
99,"2023-10-14",11.7,5.68
99,"2023-10-15",13.2,12.13
99,"2023-10-16",11.2,16.76
99,"2023-10-17",9.1,16.51
99,"2023-10-18",13.4,12.67
99,"2023-10-19",16,7.28
99,"2023-10-20",9.5,16.79
99,"2023-10-21",7.5,16.28
99,"2023-10-22",9,14.47
99,"2023-10-23",11.8,13.66
99,"2023-10-24",12.8,11.92
99,"2023-10-25",13.6,10.86
99,"2023-10-26",14.9,5.75
99,"2023-10-27",12.9,13.65
99,"2023-10-28",10.2,13.98
99,"2023-10-29",11.3,14.09
99,"2023-10-30",11.3,12.4
99,"2023-10-31",14.5,8.55
99,"2023-11-01",18.4,4.44
99,"2023-11-02",19.7,10.5
99,"2023-11-03",17.9,4.34
99,"2023-11-04",15.2,9.84
99,"2023-11-05",16,2.51
99,"2023-11-06",12.9,5.47
99,"2023-11-07",3.6,13.75
99,"2023-11-08",5.4,12.72
99,"2023-11-09",8.4,4.79
99,"2023-11-10",1.6,13.54
99,"2023-11-11",-0.7,10.92
99,"2023-11-12",-0.9,13.97
99,"2023-11-13",-0.6,13.65
99,"2023-11-14",1.6,12.84
99,"2023-11-15",3.6,10.06
99,"2023-11-16",4.1,0.98
99,"2023-11-17",0.2,9.52
99,"2023-11-18",-0.5,11.94
99,"2023-11-19",3.9,9.55
99,"2023-11-20",2.4,12.29
99,"2023-11-21",3.4,11.98
99,"2023-11-22",8,6.31
99,"2023-11-23",8,8.55
99,"2023-11-24",-2.7,11.68
99,"2023-11-25",-3.7,12.44
99,"2023-11-26",1.7,5.65
99,"2023-11-27",4.9,3.29
99,"2023-11-28",-0.7,9.91
99,"2023-11-29",-3.6,4.27
99,"2023-11-30",-5.7,11.42
99,"2023-12-01",-5.5,11.57
99,"2023-12-02",-0.4,9.81
99,"2023-12-03",-2.2,11.22
93,"2023-04-01",15.2,21.37
93,"2023-04-02",15.5,23.17
93,"2023-04-03",15.3,22.64
93,"2023-04-04",15.7,11.95
93,"2023-04-05",12.3,2.69
93,"2023-04-06",9.3,3.25
93,"2023-04-07",8.1,15.81
93,"2023-04-08",6.8,25.19
93,"2023-04-09",8.5,25.21
93,"2023-04-10",11,23.36
93,"2023-04-11",11.7,2.19
93,"2023-04-12",9,24.41
93,"2023-04-13",10.2,19.87
93,"2023-04-14",13.7,12.04
93,"2023-04-15",10.4,7.68
93,"2023-04-16",8.9,12.95
93,"2023-04-17",10,11.5
93,"2023-04-18",11.3,7.93
93,"2023-04-19",17.5,26.63
93,"2023-04-20",17.2,14.27
93,"2023-04-21",15.7,24.69
93,"2023-04-22",13.2,20.02
93,"2023-04-23",13.2,19.95
93,"2023-04-24",14.5,21.86
93,"2023-04-25",8.7,6.59
93,"2023-04-26",9.6,16.14
93,"2023-04-27",11,25.1
93,"2023-04-28",14.7,24.12
93,"2023-04-29",13.3,3.39
93,"2023-04-30",12.4,17.41
93,"2023-05-01",12.6,24.12
93,"2023-05-02",13.6,21.27
93,"2023-05-03",16.7,27.61
93,"2023-05-04",18.3,20.04
93,"2023-05-05",16.7,2.17
93,"2023-05-06",11.4,3.29
93,"2023-05-07",11.7,13.16
93,"2023-05-08",13,28.83
93,"2023-05-09",15.9,28.1
93,"2023-05-10",16.8,25.84
93,"2023-05-11",17.7,25.83
93,"2023-05-12",16.5,20.85
93,"2023-05-13",16.5,24.24
93,"2023-05-14",16.9,23.64
93,"2023-05-15",17.7,23.69
93,"2023-05-16",21.6,27.27
93,"2023-05-17",21.6,26.61
93,"2023-05-18",18.9,14.7
93,"2023-05-19",19.6,25.09
93,"2023-05-20",20.1,24.52
93,"2023-05-21",19.7,24.07
93,"2023-05-22",18.4,22.73
93,"2023-05-23",17.2,28.28
93,"2023-05-24",18.1,23.39
93,"2023-05-25",20.4,26.76
93,"2023-05-26",19.7,25.82
93,"2023-05-27",17.4,6.44
93,"2023-05-28",18.8,3.66
93,"2023-05-29",22.9,24.21
93,"2023-05-30",21.7,19.74
93,"2023-05-31",20.6,27.7
93,"2023-06-01",21.2,15.65
93,"2023-06-02",21.6,28.15
93,"2023-06-03",21.5,30.22
93,"2023-06-04",20.6,28.24
93,"2023-06-05",20.6,27.37
93,"2023-06-06",20.5,22.71
93,"2023-06-07",21.8,24.55
93,"2024-03-02",-3.2,11.34
93,"2024-03-03",1.8,14.3
93,"2024-03-04",2.1,19.14
93,"2024-03-05",4.9,8.35
93,"2024-03-06",2.9,9.91
93,"2024-03-07",0.8,8.05
93,"2024-03-08",0.6,20.1
93,"2024-03-09",-0.1,20.44
93,"2024-03-10",2.4,19.95
93,"2024-03-11",2.5,8.41
93,"2024-03-12",3.5,7.82
93,"2024-03-13",4.3,20.35
93,"2024-03-14",5.9,19.29
93,"2024-03-15",8.2,18.71
93,"2024-03-16",10,16.33
93,"2024-03-17",10.2,19.36
93,"2024-03-18",5.4,20.99
93,"2024-03-19",4.5,3.83
93,"2024-03-20",2.2,17.32
93,"2024-03-21",3,21.14
93,"2024-03-22",7.6,12.26
93,"2024-03-23",11.7,20.48
93,"2024-03-24",13.2,20.51
93,"2024-03-25",8.4,5.66
93,"2024-03-26",4.8,11.68
93,"2024-03-27",7.9,17.67
93,"2024-03-28",8.7,2.98
93,"2024-03-29",6.6,5.19
93,"2024-03-30",6.3,14.05
93,"2024-03-31",8.4,21.46
95,"2023-04-01",14.1,20.2
95,"2023-04-02",15.3,23.15
95,"2023-04-03",14.8,22.29
95,"2023-04-04",15.3,11.28
95,"2023-04-05",11.3,2.47
95,"2023-04-06",8.5,2.18
95,"2023-04-07",7.1,19.29
95,"2023-04-08",6.6,24.9
95,"2023-04-09",8.3,24.98
95,"2023-04-10",11.3,21.9
95,"2023-04-11",12.4,1.82
95,"2023-04-12",8.5,23.85
95,"2023-04-13",10.1,19.9
95,"2023-04-14",12,10.14
95,"2023-04-15",11.6,6.19
95,"2023-04-16",8.5,13.89
95,"2023-04-17",9.5,14.05
95,"2023-04-18",11.8,14.82
95,"2023-04-19",16.8,26.79
95,"2023-04-20",15.2,3.52
95,"2023-04-21",15.6,24.95
95,"2023-04-22",13.3,19.09
95,"2023-04-23",13.8,22.57
95,"2023-04-24",14.4,21.37
95,"2023-04-25",8.3,5.63
95,"2023-04-26",9.7,18.12
95,"2023-04-27",10.7,25.79
95,"2023-04-28",13.2,23.35
95,"2023-04-29",12,5.76
95,"2023-04-30",11.8,18.78
95,"2023-05-01",13.1,25.56
95,"2023-05-02",13.8,21.12
95,"2023-05-03",16.5,26.13
95,"2023-05-04",19,17.39
95,"2023-05-05",15.3,1.66
95,"2023-05-06",10.7,4.28
95,"2023-05-07",12.4,14.52
95,"2023-05-08",13.4,29.09
95,"2023-05-09",15.7,28.29
95,"2023-05-10",16.9,26.13
95,"2023-05-11",17.3,27.2
95,"2023-05-12",15.5,20.8
95,"2023-05-13",15.4,22.61
95,"2023-05-14",15.8,21.95
95,"2023-05-15",17.6,25.44
95,"2023-05-16",21.3,27.2
95,"2023-05-17",21,24.52
95,"2023-05-18",19.5,16.7
95,"2023-05-19",19.1,23.1
95,"2023-05-20",19.8,24.84
95,"2023-05-21",18.1,24.5
95,"2023-05-22",18.6,26.51
95,"2023-05-23",17.2,28.64
95,"2023-05-24",18.5,24.45
95,"2023-05-25",18.8,25.97
95,"2023-05-26",18.9,25.7
95,"2023-05-27",17.1,5.9
95,"2023-05-28",18.6,3.24
95,"2023-05-29",23,27.12
95,"2023-05-30",21.5,20.6
95,"2023-05-31",21.1,27.35
95,"2023-06-01",21.1,16.87
95,"2023-06-02",20.2,23.54
95,"2023-06-03",20.6,30.4
95,"2023-06-04",20.2,23.93
95,"2023-06-05",20.1,24.3
95,"2023-06-06",19.6,18.54
95,"2023-06-07",20.9,24.48
95,"2023-06-08",19.4,
95,"2023-06-09",19.8,26.76
95,"2023-06-10",18.9,15.1
95,"2023-06-11",20.6,26.23
95,"2023-06-12",20.5,17.84
95,"2023-06-13",19.6,23.89
95,"2023-06-14",19.7,25.3
95,"2023-06-15",21.6,28.76
95,"2023-06-16",22.6,29.38
95,"2023-06-17",23,28.2
95,"2023-06-18",24.7,24.88
95,"2023-06-19",26.1,26.43
95,"2023-06-20",22.3,7.3
95,"2023-06-21",19,7.36
95,"2023-06-22",19.7,15.28
95,"2023-06-23",22,24.23
95,"2023-06-24",24.3,29.18
95,"2023-06-25",26,27.15
95,"2023-06-26",22.3,2.49
95,"2023-06-27",23.1,19.76
95,"2023-06-28",24.6,24.78
95,"2023-06-29",22.4,3.05
95,"2023-06-30",25,24.12
95,"2023-07-01",26.9,28.4
95,"2023-07-02",26.3,22.56
95,"2023-07-03",26.7,28.82
95,"2023-07-04",25.2,16.1
95,"2023-07-05",23.8,20.01
95,"2023-07-06",25.7,19.02
95,"2023-07-07",25.2,26.88
95,"2023-07-08",25,25.77
95,"2023-07-09",23.3,13.43
95,"2023-07-10",25.9,23.96
95,"2023-07-11",22.7,4.3
95,"2023-07-12",24.5,16.65
95,"2023-07-13",23.9,5.26
95,"2023-07-14",24.5,3.38
95,"2023-07-15",24.4,5.88
95,"2023-07-16",23.9,9.72
95,"2023-07-17",23.7,8.55
95,"2023-07-18",24.5,16.06
95,"2023-07-19",25.8,27.81
95,"2023-07-20",26.3,24.2
95,"2023-07-21",27.2,23.63
95,"2023-07-22",26.4,22.05
95,"2023-07-23",24.7,4.13
95,"2023-07-24",26.7,19.64
95,"2023-07-25",25.8,15.77
95,"2023-07-26",24.7,13.07
95,"2023-07-27",27,24.2
95,"2023-07-28",26.6,24.56
95,"2023-07-29",26.6,24.22
95,"2023-07-30",27.6,26.38
95,"2023-07-31",27.4,21.53
95,"2023-08-01",27.8,24.13
95,"2023-08-02",27.2,23.11
95,"2023-08-03",27.4,25.77
95,"2023-08-04",27.6,24.4
95,"2023-08-05",28,27.19
95,"2023-08-06",27.7,18.27
95,"2023-08-07",26.5,24.51
95,"2023-08-08",27.3,26.06
95,"2023-08-09",24.4,11.35
95,"2023-08-10",21.4,2.46
95,"2023-08-11",21.7,5.42
95,"2023-08-12",23.1,11.15
95,"2023-08-13",25.1,14.89
95,"2023-08-14",26.5,24.1
95,"2023-08-15",25.9,21
95,"2023-08-16",25.8,24.45
95,"2023-08-17",26.3,22.86
95,"2023-08-18",27.3,23.62
95,"2023-08-19",27.7,20.39
95,"2023-08-20",26.4,14.43
